artifact_file,scenario_id,target_actor_id,num_modes,prediction_steps,ego_future_steps,target_future_steps,probability_sum,joint_valid_steps,status,notes
083d707c-8af0-4df5-ac57-2cd5051bfdd7.npz,083d707c-8af0-4df5-ac57-2cd5051bfdd7,50650,6,60,60,60,0.9999999930296326,60,pass,
08619227-277f-44e6-8892-d3f1e2bd4dc8.npz,08619227-277f-44e6-8892-d3f1e2bd4dc8,116826,6,60,60,60,0.9999999776482582,60,pass,
086816c5-e9da-4d96-8687-154246e4b3f6.npz,086816c5-e9da-4d96-8687-154246e4b3f6,205101,6,60,60,60,0.9999999891733751,60,pass,
0868948f-bc28-4291-b893-1496db1e4310.npz,0868948f-bc28-4291-b893-1496db1e4310,4291,6,60,60,60,0.9999999105930328,60,pass,
086a00ce-cd8c-4f45-bcd7-c92b5b0cfcc2.npz,086a00ce-cd8c-4f45-bcd7-c92b5b0cfcc2,35901,6,60,60,60,1.000000087893568,60,pass,
08778950-07c4-4292-915e-363c68311c74.npz,08778950-07c4-4292-915e-363c68311c74,7602,6,60,60,60,0.999999981799192,60,pass,
08834540-b606-43f9-ab11-330717efbc52.npz,08834540-b606-43f9-ab11-330717efbc52,128160,6,60,60,60,0.9999999422580004,60,pass,
088efe09-2b8d-41d4-b6e6-fde9dd345bc5.npz,088efe09-2b8d-41d4-b6e6-fde9dd345bc5,3684,6,60,60,60,1.0000000591389835,60,pass,
088f8390-67f0-4614-9b2f-720b4159ebf6.npz,088f8390-67f0-4614-9b2f-720b4159ebf6,97290,6,60,60,60,0.9999999552965164,60,pass,
08903b30-d4ff-4173-bf5f-9ad22eac521d.npz,08903b30-d4ff-4173-bf5f-9ad22eac521d,53513,6,60,60,60,0.9999999925494194,60,pass,
08947a48-68d4-41d3-afcd-81c207f99958.npz,08947a48-68d4-41d3-afcd-81c207f99958,56591,6,60,60,60,0.9999999962747097,60,pass,
08978d58-edee-45c1-b221-a98fb56587be.npz,08978d58-edee-45c1-b221-a98fb56587be,30164,6,60,60,60,1.0000000692380127,60,pass,
089a9b8d-b77e-4af4-ae7f-2b3e534614ca.npz,089a9b8d-b77e-4af4-ae7f-2b3e534614ca,2757,6,60,60,60,0.9999999930981289,60,pass,
089d62fb-30e3-45af-9fff-ebc2693c3e8d.npz,089d62fb-30e3-45af-9fff-ebc2693c3e8d,20748,6,60,60,60,0.9999999395367922,60,pass,
08a6caba-1d9d-450a-8c21-36556fb93ae8.npz,08a6caba-1d9d-450a-8c21-36556fb93ae8,170383,6,60,60,60,0.9999999776482582,60,pass,
